Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? 
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineGNREOnLine;validarSituacaoDocumento;34;13;9;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacaoARecolher;getOcorrenciasNavegacao;26;4;9;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIsencaoIPVAInicioBase;process;16;4;7;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;getEntidadeGrupoReceitaCollection;12;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;verificarContaRepetida;10;2;6;5;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.isencaoTributos.DAOIsencaoTributosSQLBean;obterDetalheIsencao;7;1;5;3;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.substituicao.InserirItemAntecipacaoMensal;preencherColecao;9;2;5;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.devolverTalao.ConfirmarDevolucaoTalao;setValoresDAE;29;6;6;3;Metodo Longo;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.unidadeTalao.IncluirUnidadeTalao;process;24;2;11;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEContribuinteNaoInscrito;validarSituacaoContrib;19;7;3;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorRepasse;consultarRepasseFunprevporPeriodoEntidades;26;10;6;5;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.talonario.ConsultarDAEManual;getOcorrenciasNavegacao;20;3;9;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacaoRecolhidos;process;26;2;5;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;UNDEFINED;br.gov.se.sefaz.sae.ng.GerenciadorMantab;navegacaoMantabUtil;34;7;9;6;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.ExcluirDataFechamentoMensal;process;37;3;8;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ItemDetalheDAE;setAtividadeEcon;14;6;7;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirItemDAEImpExp;42;15;11;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;REGISTROMOVCONSOLIDADO;br.gov.se.sefaz.sae.concBanc.ng.registro.Registro2;inicializar;20;1;0;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;GNRE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;setGNRE;186;57;23;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemReceitaOutrosOrgaos;process;40;7;10;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;[CONSTANTESEMISSAODAE];br.gov.se.sefaz.sae.util.data.DatasSAE;obterMesAntecedente;25;13;1;1;Metodo Longo;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoImunidadeIPVAInicio;verificarDadosVeiculo;36;12;5;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;registrarInclusaoChequeDevolvido;19;6;7;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dar.ConsultarDadosDAR;initialize;8;4;1;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemMultaFiscal;process;28;4;7;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.cadastro.conta.InserirContaBancaria;montarComboAgenciaAtiva;30;7;9;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.arquivo.GerenciadorArquivos;gerarNomeArquivo;14;3;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirDetalheReceitaExtraOrcamentariaToSource;21;9;6;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.inscricaoEstadual.ConfirmarAlteracaoDadosInscricaoEstadual;initialize;82;11;7;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;obterDAEPorNumeroDAE;47;14;9;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorTalonario;gerarSequenciaDAEManual;55;9;8;4;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.listar.ConsultarDocumentos;process;14;6;4;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarDocsAlteradosRepassados;getOcorrenciasNavegacao;24;4;10;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.cheqDev.to.notificacao.EmitirNotificacaoCheque;registrarEmissaoChequeDev;17;3;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;getChequeDevolvido_;23;1;7;4;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorConsulta;obterDAENaoRepassado;23;7;5;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.formaRecolhimento.AlterarFormaRecolhimento;process;41;7;11;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarDAEDED;28;3;12;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineDAE;processarArquivo;66;21;13;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;[CONSTANTES, CONSTANTESEMISSAODAE];br.gov.se.sefaz.sae.util.campo.CamposSAE;formatarPessoa;21;4;3;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemReceitaExtraOrc;process;17;1;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;verificarItensDIC;20;5;4;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIsencaoIPVAInicioBase;process;16;4;7;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacaoARecolher;getOcorrenciasNavegacao;26;4;9;5;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;[CONSTANTES];br.gov.se.sefaz.sae.ng.GerenciadorCustodiais;registrarHistoricoCustodialCmdSQL;167;15;9;5;Metodo Longo;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoDAE;processarArquivo;43;15;11;0;Metodo Longo;(1) Discordo Fortemente;;
 A, D, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.arquivo.ProcessarArquivoRecebidoBase;getPendenciaArquivo;7;6;4;4;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;ObterCNAEFComMaiorPercentual;18;2;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.cheqDev.to.baixa.BaixarCheqPago;process;80;15;12;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;obterVencimentoReceita;44;16;10;13;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.cheqDev.ListarDocumentoCheque;setItensDocumento;35;6;9;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.AlterarItem;process;125;52;14;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineGNRE;registrar;37;6;16;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.combSituacaoChequeDev.IncluirCombSituacaoChequeDev;process;23;2;8;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;recMotivoDevolucaoCheque;13;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.motivoDAEManual.IncluirMotivoDAEManual;process;24;2;10;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.receita.AlterarReceita;montarComboReceitaPai;26;5;8;1;Metodo Longo;(1) Discordo Fortemente;;
 D, V ;ABAS;br.gov.se.sefaz.sae.consultas.to.concBanc.ExibirDadosCabecalhoAbas;preencheDocCabecalhoConcBanc;14;2;6;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacaoRecolhidos;setItensDocumento;43;10;10;4;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.motivoTalao.AlterarMotivoTalao;process;24;2;9;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemICMSConfirmar;process;20;4;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.sit.EmitirDAEsSIT;process;22;7;8;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.ICMS.AtenderSolicitacaoAguardRegularizacaoFinal;doProcess;50;6;17;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.isencaoTributos.to.consulta.ConsultaAvancadaIsencaoTributos;montaFiltroDocumentoTipoIsencao;6;3;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.concBanc.ConsultaConcBanc;getCamposExibicao;28;8;6;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.receita.ConsultarConversaoReceitaHost;process;22;3;9;0;Metodo Longo;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteNaoInscrito.AlterarItemDAE;initialize;114;49;14;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;UNDEFINED;br.gov.se.sefaz.sae.gnre.ws.contingencia.WsContingencia;consultarLotesContingencia;17;4;7;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.baixarDAEManual.RegistrarBaixaDAEManual;process;61;19;10;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;[CONSTANTESEMISSAODAE];br.gov.se.sefaz.sae.util.data.DatasSAE;getDataUtil;17;5;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirItemDAENaoTributavel;6;3;4;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorTalonario;registrarRecebimentoDoTalao;17;6;7;7;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;montarComboCNAEF;5;1;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoDAE;registrarRecolhimentoDocumento;203;44;17;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarAlteracaoHistoricoDAE;36;14;8;8;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.gnre.AlterarGNREConfirmar;initialize;43;9;8;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.RegistrarConfirmacaoRepasseFinanceiro;process;76;14;21;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;DBADOCUMENTOBASE;br.gov.se.sefaz.sae.ne.DalDocArrecLegado;setDAL;38;1;1;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemICMSContribuinteNaoInscritoConfirmar;initialize;95;17;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.emitirTermoEntregaTalao.ConfirmarEmissaoTermoRegiao;initialize;16;2;10;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;setBanco;14;3;7;4;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.vencimento.ConsultarVencimentoICMS;comparaDataInicialFinal;10;8;2;6;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;validarDadosDASDesmembramento;32;14;10;3;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineGNRE;registrarRecolhimentoDocumento;189;55;24;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirItemITD;59;26;11;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarDAE;24;9;8;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirSourceToResultITD;100;16;4;2;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.cheqDev.ListarDocumentoCheque;getOcorrenciasNavegacao;20;3;9;3;Muitos Parametros;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.chequeDevolvido.GerarItemReguralizacaoChequeDevolvido;process;88;14;14;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemReceitaOutrosOrgaosConfirmar;initialize;69;6;8;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.viaEletronicaDAEManual.contribuinteInscrito.IncluirItemICMS;process;28;6;8;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.grupoMotivoReceita.ExcluirGrupoMotivoReceita;initialize;27;3;9;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dadosConcBanc.ConfirmarAlteracaoDadosConciliacaoBancaria;verificarSeAlterouSituacaoDoc;15;3;9;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoDAS;processarArquivo;38;6;13;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GNRE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;validarDadosGNREDesmembramento;51;24;16;3;Metodo Longo;(1) Discordo Fortemente;;
 A, R, V, X ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ItemDetalheDAE;setDocDadosOutrasRec;93;21;16;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIPVAFinalBase;initialize;24;5;4;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemICMSConfirmar;initialize;22;2;4;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.talonario.ConsultaAvancadaTalonario;montaFiltroIntervaloData;114;33;7;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqChequeDevolvido;getChdChequeDevolvidoAtual;23;2;9;4;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoImunidadeIPVAInicio;verificarDadosVeiculo;36;12;5;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;[CONSTANTESEMISSAODAE];br.gov.se.sefaz.sae.util.data.DatasSAE;getDataUtil;17;5;3;2;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.repasse.ConsultaRepasseFUNPREV;setItensDocumento;138;25;10;4;Muitos Desvios;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.docarrecadacao.DAODocArrecadacaoSQLBean;getAllMap;32;2;4;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;consultaCNAEParaBloqueio;12;3;7;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.repasse.ConsultaRepasseFUNPREV;getOcorrenciasNavegacaoTabela1;19;2;8;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirItemReceitaOutroOrgao;69;28;8;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ItemDetalheDAE;getDsParcelaApuracao;46;9;2;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.itemDAE.ListarDAEAlteracao;getOcorrenciasNavegacao;20;3;9;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.receita.ConsultarRegraRepasseReceita;process;26;6;9;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEAvulsoSAP;process;34;13;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;calcularEncargosReceita;92;19;12;2;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.inclusao.itemDae.InserirItemDAE;preencherColecao;9;2;5;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.emitirExtratoTalaoPorUnidade.ExtratoTalao;setItensDetalheTalao;31;8;8;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;[CONSTANTES];br.gov.se.sefaz.sae.ng.GerenciadorCustodiais;verificaExisteRepasseRec;20;4;8;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.AlterarItem;process;125;52;14;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.sefaz.se.sae.oper.to.substituicao.SubstituirDAE;obterCamposDivergentes;19;4;7;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.talonario.ConsultarHistoricoTalao;getOcorrenciasNavegacao;20;3;9;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.tipoDocOrigem.AlterarTipoDocOrigem;process;20;2;7;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;UNDEFINED;br.gov.se.sefaz.sae.ng.GerenciadorMantab;navegacaoMantabUtil;4;1;6;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ListarAtvdEconCateg;getWhereCNAE;15;7;3;2;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;montarComboCnaefContribNaoInscrito;27;3;13;6;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConsultarRepassePorBancoRepasse;setItensDocumento;72;6;12;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEAvulsoSAP;process;34;13;7;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;excluirDadosDoc;24;4;12;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dadosConcBanc.ConsultarDadosConciliacaoBancaria;process;55;13;8;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.CadastrarVencimentoICMS;initialize;26;6;5;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.receita.ExcluirReceita;process;64;8;14;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;recGrupoProduto;13;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;registrarIsencaoVeiculo;37;6;10;6;Muitos Parametros;(1) Discordo Fortemente;;
 V ;[CONSTANTESEMISSAODAE];br.gov.se.sefaz.sae.util.data.DatasSAE;obterUltimoDia;35;14;2;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;registrarIsencaoVeiculo;37;6;10;6;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.dae.DesmembrarDAE;montaDocDesmembrarDAE;29;4;6;2;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.ListarDataFechamentoAberto;getOcorrenciasNavegacao;27;4;10;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoIPVA;validarDocumentoMovimentoConsolidado;69;14;19;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.talonario.ConsultaAvancadaTalonario;montaFiltroDocumento;23;15;4;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.contaRepasse.ListarContaRepasse;process;36;10;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIsencaoIPVAInicioBase;verificarCategoriaVeiculo;13;5;5;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.devolverTalao.ListarDAEsTalaoParaDevolucao;setDAEsDoc;22;3;7;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.IPVA.DAOIPVASQLBean;recVeiculoIpva;13;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.certidaoIPVA.EmitirCertidaoNegativa;compare;3;4;7;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;verificaArrecadacaoFechada;24;9;8;1;Metodo Longo;(1) Discordo Fortemente;;
